epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0381,0.92356,4.56732,1.07023,0.32845,0.26283,0.15268,0.12739,0.70862,2.54127,0.99337,8.10299e-05,8.10299e-05,8.10299e-05
2,47.5416,0.89097,3.49677,1.06521,0.32805,0.45201,0.3085,0.25009,0.6985,1.94808,0.98458,0.000159148,0.000159148,0.000159148
3,71.0646,0.8606,2.9856,1.05,0.59182,0.47726,0.46746,0.38608,0.69215,1.52567,1.00022,0.000234046,0.000234046,0.000234046
4,94.678,0.82126,2.53341,1.03827,0.57959,0.58856,0.55685,0.45809,0.6776,1.33068,0.99148,0.000229506,0.000229506,0.000229506
5,118.58,0.80747,2.22819,1.03334,0.56968,0.63785,0.61032,0.5121,0.6446,1.28413,0.98569,0.000224675,0.000224675,0.000224675
6,142.727,0.76697,2.01624,1.01679,0.67279,0.6962,0.69582,0.58882,0.61825,1.03717,0.95892,0.000219844,0.000219844,0.000219844
7,167.038,0.7626,1.82172,1.01328,0.67633,0.69244,0.6884,0.58634,0.60113,1.01274,0.95582,0.000215013,0.000215013,0.000215013
8,191.456,0.75397,1.68041,1.00874,0.74733,0.73663,0.76093,0.64515,0.61434,0.90628,0.94855,0.000210182,0.000210182,0.000210182
9,216.005,0.73169,1.53449,0.99467,0.75193,0.7657,0.77166,0.65981,0.58639,0.8706,0.92464,0.00020535,0.00020535,0.00020535
10,240.656,0.72974,1.4621,0.99424,0.7371,0.79802,0.78519,0.66945,0.59444,0.83223,0.92878,0.000200519,0.000200519,0.000200519
11,265.324,0.71751,1.35428,0.98615,0.73444,0.81037,0.78854,0.67796,0.56479,0.78327,0.9155,0.000195688,0.000195688,0.000195688
12,290.012,0.71053,1.29973,0.98394,0.7383,0.79607,0.7934,0.68074,0.56635,0.76493,0.91644,0.000190857,0.000190857,0.000190857
13,314.76,0.69371,1.22487,0.97889,0.77565,0.78493,0.79732,0.6879,0.56077,0.78008,0.92255,0.000186026,0.000186026,0.000186026
14,339.547,0.68912,1.18655,0.97793,0.81331,0.83062,0.82796,0.71349,0.56098,0.71773,0.91494,0.000181194,0.000181194,0.000181194
15,364.346,0.68382,1.12689,0.97207,0.79518,0.81083,0.82037,0.70484,0.56404,0.70456,0.91232,0.000176363,0.000176363,0.000176363
16,389.175,0.6681,1.08666,0.9633,0.76754,0.85936,0.8461,0.72084,0.5614,0.68619,0.90915,0.000171532,0.000171532,0.000171532
17,413.991,0.68723,1.09518,0.97166,0.77251,0.86554,0.82768,0.71415,0.55894,0.69289,0.90966,0.000166701,0.000166701,0.000166701
18,438.876,0.66648,1.03382,0.96274,0.78449,0.85703,0.84487,0.7224,0.55642,0.67354,0.90618,0.00016187,0.00016187,0.00016187
19,463.806,0.66699,1.01626,0.96456,0.80932,0.86091,0.85914,0.74263,0.54212,0.65065,0.90143,0.000157038,0.000157038,0.000157038
20,488.615,0.65764,0.9883,0.95561,0.78661,0.8557,0.84726,0.73221,0.53976,0.64312,0.90001,0.000152207,0.000152207,0.000152207
21,513.358,0.64952,0.96981,0.95545,0.813,0.85726,0.8628,0.74321,0.53881,0.63869,0.89756,0.000147376,0.000147376,0.000147376
22,538.076,0.6516,0.94809,0.95392,0.81377,0.85656,0.85985,0.75203,0.52688,0.62134,0.89696,0.000142545,0.000142545,0.000142545
23,562.819,0.63581,0.93661,0.94668,0.81238,0.87376,0.8678,0.75295,0.52479,0.62972,0.89281,0.000137714,0.000137714,0.000137714
